,screen_name,name,verified,created_at,age,age_days,url,description,links,follower_count,avg_new_followers_per_day,favourites_count,avg_likes_last_50,avg_rt_last_50,user_mentions_last_50
0,Web3Alerts,Web3 Alpha Alerts,False,2021-12-30 05:26:38+00:00,74 days 19:56:38.568811,74,https://t.co/trhiC0MLE3,"Discover the hottest new projects before everyone else. Like HotNewCrypto, but free. DMs open for feedback. WAGMI :)",[],3604,48.7027027027027,27,1.04,0.18,"['DefiOlympiads', 'ATO_Finance', 'investcompound', 'solana', 'reachlang', 'daydreamersgif', 'DualityFi', 'curatedxyz', 'BeanstalkFarms', 'shueyinu', 'AbominationNft', 'ucblockchain', 'Algorand', 'FRWCCouncil', 'ClubLitterbox', 'insignisfinance', 'FemboyDAO', 'SmowlsNFT', 'wordcel_club', 'arbitrum', 'KlaytnMIX', 'EvmnsOrg', 'NemesisFinance', 'solana_devs', 'MonarchNfv', 'toddg777', 'AndroLibMetis', 'felixcartal', 'CoherenceFin', '0xPolygon', 'uiarchive', 'Eris_Finance', 'GeishasGardens', 'pfpidxyz', 'xcvzstake', 'enddotgame', 'michael_moodie', 'TheWizniak', 'USDB_', 'MetisStakingFi', 'hellamheim', 'CrescentHub', 'Goldensocnodes', 'METIS_GodGame', 'isthispublius', 'ChubbyFrogsNft', 'andrewjiang', 'freedom_nodes', 'starknetplanet', 'Broccoli_NFT', '0xOnline', 'topology_gg', 'CigarFinance', 'SolidityB', 'SneakerSlayers', 'MetisDAO', 'rossplaskow', 'NFTDdog', 'acovamarket', 'ValuesIndex']"
1,hotnewcrypto,"hotnewcrypto.com (😈, 😈)",False,2017-07-15 00:39:36+00:00,1704 days 00:43:40.990190,1704,https://t.co/AbzvTirelW,"Scouting the stealthiest projects for you.

The official alpha provider of your favorite alpha hunters.

Join now: https://t.co/G5bCUinLsO",['https://t.co/G5bCUinLsO'],11723,6.879694835680751,2949,2.0,61.04,"['0xBoomerDoomer', '0xSisyphus', 'ivyhsy', 'gabrielhaines', '0xtuba', 'WSB__Chairman', 'spencernoon', 'TheStalwart', 'CRE8RDAO', 'hotnewcrypto', 'LilMoonLambo', 'pmarca', 'CyphrETH', 'BAYC2745', 'defiprime', 'NourHaridy', 'FEhrsam', 'cz_binance', 'a16z', 'rektcryptofox', 'tarunchitra', 'nateliason', 'ASvanevik', 'Route2FI', 'bigdsenpai', 'andrwwang', 'thekriskay', 'josephdelong', 'BendDAO', 'transmissions11', 'dziubutkus', 'matthuang', 'paradigm', 'vinerstein', 'Darrenlautf', 'icebergy_', 'kenchangh', 'OlympusDAO', 'NN_Tradekax', '0xsat', 'AstariaXYZ', '0xrooter', 'sayinshallah', 'Not3Lau_Capital']"
2,1000xGemsKing,1000x Gems King,False,2020-01-19 07:24:14+00:00,785 days 17:59:03.447702,785,https://t.co/NcSL6O9yg6,"#1000xgem #Next100XGEMS #NFT  #100xgem  #BSC #BTC #BSCGem #Bitcoin   #Solana #Metavers #BNB #Meta #WEB3  #ETH #Gems.

Must #DYOR Before buy #Crypto  . 🔥🚀🌒",[],247311,315.04585987261146,789,4.02,3.62,"['JohnWall', 'Medi_Token', 'MemesPolygon', 'GamingFlokiBSC', 'babycheemsinu', 'metaking_nft', 'SecuredShip', 'OldGuyDavid2022', 'MemeTowers', 'Maple_block', 'garyvee', 'critter_sweet', 'AndromedaToadz', 'OWLDAOio', 'UrijahFaber', 'Pixul_', 'AdamEShelton', 'Polygon_Space1', 'RevivalDefi', 'shueyinu', 'KacOFinance', 'PolygonAlliance', 'metaTIGR', 'cryptogirlies', 'safuuprotocol', 'fastswapdex', 'Zinja_ETH', 'subshibainu', 'goodgamesguild', 'tribeonedefi', 'MetaMate_NFT', 'ultramineapy', '1000xGemsKing', 'CL_Community', 'Undeadape_nft', 'cz_binance', 'FancyBearsMeta', 'binance', 'MiamiNFTweek', '0xPolygon', 'MetAcesCasino', 'ShidenNetwork', 'Louverture_fi', 'PolygonDaily', 'MetalandDefi', 'DpadFinance', 'FL_Token', 'CatopiaToken', 'yukaichou', 'PocketPayFin', 'DEXTrendBot', 'PyramidMoney_', 'Helmet_insure', 'KongTamaToken', 'TheKevinToken', 'OctalysisGroup', 'MoonfarmFinance', 'TheDigitalDogs', 'Babyshibatoken', 'Polygonpunkscom', 'BinanceResearch', 'CatFunToken', 'revolut20', 'ThePeoples_Coin', 'kingbezostoken', 'HKUNtoken', 'Tiamonds', 'punch_club_NFT', 'OfficialUnicat', 'MetisDAO', 'ChihiroInuETH', 'TheCoffeeBlock']"
3,ElenaCryptoBaby,CryptoBaBy #NFTs,False,2021-06-28 21:34:39+00:00,259 days 03:48:38.837808,259,https://t.co/6BskwYZJSI,Hodl🔸 Potentially🔸 Promising 🔸Gems 🔸NFTs #Defi #ETH  #Bitcoin #BNB  #TRX #NFTs #Solana,[],90276,348.55598455598454,9476,16.44,28.72,"['jianghu23412094', 'GaryNonFungible', 'MindProtocol', 'CryptoHELPToken', 'KISSKISSMETA', 'gamefiboost', 'babycheemsinu', 'metaking_nft', 'elonmoonspace', 'VoxelXnetwork', 'BabyDogeCoin', 'RealFlokiCat', 'CatsRaceBSC', 'BrianSumner420', 'nekocoinbsc', 'shebatokenbsc', 'loungeloversnft', 'Bobatama', 'AirpayFinance', 'VT6688', 'Minicheebs', 'RealFlokiInu', 'Micro_tuber', 'ZillaSafuu', 'theparktoken', 'GalaxyHeroesGHC', 'ultramineapy', 'GHC_Marketer', 'htc', 'SuperKluster', 'TopGainbsc', 'GHC_Army', 'CATMuskCoin', 'CargoLinkCLX', 'MetoshiRedpanda', 'launchercoin', 'ayucharlottee', 'ForusPlatform', 'AugmentedUniver', 'Shinjirotoken', 'dxsale', 'flokieasterbsc', 'MetaKongBSC', 'UdemeWilliam1', 'ShibetoshiToken', 'CheemsInu', 'ZachBoychuk', 'HeroInfinityETH', 'ElenaCryptoBaby', 'bsc_daily', 'XBNB_Official', 'MEXC_Global', 'Nerve_flux', 'MetaHousebsc', '100XCryptoGem', 'elonmusk', 'CatFunToken', 'bitcrusharcade', 'mcbinanceBSC', 'cryptokhloe_', 'mimi_crypto73', 'BOREMON_BSC']"
4,ShitCoinBscGem,ShitCoin Bsc Gem ,False,2018-08-17 12:12:27+00:00,1305 days 13:10:51.243779,1305,https://t.co/CJPxhMrBzl,#Crypto Project & NFT Influencer → #ShitCoinBscGem #NFT #DeFi #IDO #Presale 🚀 #NFA🚨#DYOR #BNB #BSC #BscGem #Bitcoin Do Own research Before Invest 🔥 #Solana,[],215108,164.8337164750958,13167,521.7,1590.04,"['KISSKISSMETA', 'zuckerswap', 'CCNnet', 'BabyDogeCoin', 'FinanceFlying', 'NodeUp_Token', 'TheMoonCarl', 'ASTRAVERSETOKEN', 'Seyit52074894', 'BAYC2745', 'OKXNFT', 'binance', 'yield_shield', 'metarobox', 'ShitCoinBscGem', 'MEXC_Global', 'MBYToken', 'rovercrc', 'Shido_Inu', 'elonmusk', 'kevin2kelly']"
5,LaCryptoMonkey,Crypto Monkey,False,2021-11-30 12:26:59+00:00,104 days 12:56:19.717114,104,,"Will Never Dm First, Tweets are not financial advice | #BSC #CryptoMonkeyisBack 💛 = Ad",[],145441,1398.4711538461538,894,183.34,695.18,"['ShibaSafe', 'syscoin', '0xCo1e', 'BTCCGameFi', 'TheDreamChain', 'anndylian', 'BigONEexchange', 'PancakeSwap', 'LaCryptoMonkey', 'tribeonedefi', 'MetaBearKiller', 'GoCryptoMeCoin', 'cz_binance', 'binance', 'thecryptoqueenz', 'stayingpositiv', 'VoltInuOfficial', 'RimpfCryptoBaz', 'yhuke_m', 'project_euro', 'beemarkets', 'holdtoearn', 'gin_meta', 'MAXRtoken', 'NotaLaunchpad', 'spin_fi', 'Quantic_finance', 'CryptoHunter_ch', 'RocketBUSD', 'passivenodeinc1', 'BoyGeorge', 'MikeMAXRtoken', 'ApePunksDAO', 'elonmusk', 'greedygrampsnft', 'Sethn255', 'Midas_DAO']"
6,Wintexwhale,Wintex Whale 🐬,False,2014-11-24 22:56:19+00:00,2667 days 02:27:00.142184,2667,,crypto influencer. low cap #gem Finder. #DM for promotion.$memesToken #BSC gem. #ERCGem #NFTs promoter #DYOR,[],65411,24.526059242594677,1093,1.34,0.86,"['ryanthw', 'kefan404', 'CoinMan899', 'theSageDAO', 'safemoon', 'pumptopiaio', 'cryptogecko_nft', 'AxieEth', 'Mick0_NFT', 'TheOwlzCongress', 'Ssurrygpro', 'Shibtoken', 'LIFinance', 'CryptoMiningLLC', 'Meetsmeta', 'BoomstickMafia', 'tastytorres', 'ClubEmperor', 'TerminatusX', 'yfione', 'KibaGirls', 'WomenTribe_nfts', 'OfficialPearDAO', 'racingsocialnft', 'Nerd_WEB3', 'loungeloversnft', 'Bezogetothemoon', 'WeirdoGhostGang', 'Carrie4Bezoge', 'Treasure_NFT', 'papacthulu', 'JoinUptick', 'TeamBRITracing', 'bezogebabes', 'elonmusk', '0xSlawBunnies', 'AVATAR_AVAX', 'opensea', 'MyBookie', 'bezoge', '88DynastyNFT', 'HealthWorkNFT', 'Snow_punkz', 'SuperRare', 'NatChu04675146', 'shinobibunnynft', 'TigersClubNFT', '_Chenti_', 'ZomNFT', 'jpegcloudy', 'viraIer', 'MoeMoney989', 'KongTamaToken', 'flozinbtc', 'skullboii_nft', 'KamiTribe', 'KWW_NFT', 'BossCatRC', 'NFT_Tradergame', 'U_UnicornsNFT', 'UnitedApesClub', 'KibaInuWorld', 'MikeJamesBezoge', 'legendofbezogia', 'coingecko', 'DjPrestigeUk', 'Crayola_Capital', 'bezogebrothers', 'DesignResource_', 'JkayPromotes', 'SirSwifty59', 'SkeletGuys', 'SmolBrainsNFT', 'NftHighSociety', 'RocketBUSD', 'doge_loyal', 'ThePeoples_Coin', 'WarrenSapp', 'JMN_NFT', 'Kuncicoin_id']"
7,leslarmetaverse,LESLAR Metaverse,False,2022-01-21 09:34:05+00:00,52 days 15:49:14.536030,52,https://t.co/lTWBZQlEgy,"🇮🇩 Most popular NFT & Crypto Coin 🙌🏻 Created by @rizkybillar & #LestiKejora 
👇🏻LESLAR COMMUNITY",[],15598,299.96153846153845,101,251.96,89.22,"['CryptoRank_io', 'theTruckCompany', 'ALTSAVlNGS', 'CoinMarketCap', 'muchyusril21', 'coingecko', 'binance', 'ChinaPumpWXC', 'chinapumprocket', 'Cryptoscreen_en', 'leslarmetaverse', 'ThePULSE_DAO']"
8,LukaEvans_,Luka 💎,False,2010-03-06 16:16:26+00:00,4391 days 09:06:53.988573,4391,https://t.co/biG3tbYSRq,Crypto Investor |🧠| Social Media Influencer | 💎 | Send me DM | 📩 | PROMOTE | 🚀 | #BTC |#Solana | #ETH | #Metaverse | https://t.co/NATLQ70s1i,['https://t.co/NATLQ70s1i'],957930,218.1575950808472,1222,480.76,1998.16,"['OfficialPearDAO', 'LukaEvans_', 'LoganPaul', 'tommywheelart', 'jakepaul', 'OG_Ape_Club', 'DesertIslandNFT', 'kusunokitoken', 'ZoroToken', 'CowparkNFT', 'garyvee', 'The_CJ_NFT', 'Bushido_Society', 'Astarter_Pad', 'WSGToken', 'Shibnobiinu', 'ChummyFinny', 'AsraCityDAO', 'MINICAT_COIN', 'RmrkApp', 'TigerBiteToken', 'PexCoinProject', 'CertiKTech', 'DaoDoge_bsc', 'QANplatform', 'kusamanetwork', 'PrimeBunnyPBP', 'JoinUptick', 'shunlinft', 'calculuxEx', 'MetaTubeWorld', 'chaincorn', 'NinanceOfficial', 'TheDigitalDogs', 'kevinolearytv', 'Bibox365', 'SmartFinance_AI', 'rangersprotocol', 'Polkadot', 'NovaWalletApp', 'Vimpto', 'ido_meta', 'JeffBelfort_', 'punch_club_NFT', 'BoredApeYC']"
9,theCMCinspector,The CMC Inspector,False,2021-12-06 10:19:19+00:00,98 days 15:04:01.427572,98,https://t.co/iTp4a7oJfw,Discover new Crypto Currencies 5-30 minutes before listed on Coin Market Cap!  #cmc #bsc #DYOR #NFA,[],22987,234.5612244897959,32,0.38,0.04,[]
