,screen_name,name,verified,created_at,age,age_days,url,description,links,follower_count,favourites_count,avg_likes_last_5,avg_rt_last_5,user_mentions_last_5
0,thenothingsnft,The Nothings,False,2022-03-02 02:43:41+00:00,8 days 03:05:43.949477,8,https://t.co/HvKrRKccCP,Literally nothings.,[],1110,121,0.6,1.0,"['landon400000', 'EmmyShotIt', 'Henrae01', 'Web3Alerts', 'thenothingsnft']"
1,StarkNetTR,StarkNet | Türkiye,False,2022-03-05 06:27:21+00:00,4 days 23:22:04.339383,4,https://t.co/GnpHQtw4fW,"STARK'ları yanı başınızdaki blokzincire getiriyoruz.
StarkNet Türkiye topluluğu hesabıdır.

This is the StarkNet Turkey community account.",[],3159,0,1217.0,105.0,[]
2,degen_studios,degenstudios,False,2022-03-07 21:47:13+00:00,2 days 08:02:12.699585,2,,FUCK YEA,[],878,1,28.666666666666668,82.66666666666667,"['jakethedegen', 'yungwknd', 'degen_studios']"
3,HerbertWFranke,Herbert W. Franke,False,2022-03-08 15:51:22+00:00,1 days 13:58:04.049314,1,https://t.co/TTREBESijM,"Computer artist, scientist, philosopher",[],8027,87,102.8,2.0,"['Brocciuz', 'thisaintanika', 'bottoproject', 'quasimondo', 'BottoDAO', 'nd_kane', 'veloopity']"
4,ApesOfArbitrum,ApesOfArbitrum,False,2022-01-26 12:18:08+00:00,42 days 17:31:18.369596,42,,"A Shrewdness of 11,111 Apes born & raised on @Arbitrum.

Stay tuned for more info !",[],240,28,27.4,18.2,"['0xINCREDIBLE', 'ThisIs_M1nH', 'arbitrum', 'Halodave12', 'wdm611']"
5,Petroleum_Defi,Petroleum Finance,False,2022-03-05 10:44:33+00:00,4 days 19:04:53.740417,4,,"(⛽️,⛽️) 
Upcoming #P2E #DaaS on #AVALANCHE chain !
Join us and enjoy the life of an oil tycoon ! Capitalize, Compound and Earn !
https://t.co/niqZ5hMn2X",['https://t.co/niqZ5hMn2X'],934,35,58.6,54.2,"['MisslinQ', 'ShrimpTempuraz', 'Petroleum_Defi', 'CryptoBethany']"
6,liqui_space,Liqui,False,2022-01-05 07:36:23+00:00,63 days 22:13:04.069719,63,,Conditional liquidity protocol,[],91,0,0.0,11.0,"['yevhenx', 'opyn_']"
7,altr_____,altr_,False,2022-01-02 23:30:01+00:00,66 days 06:19:26.439763,66,https://t.co/BacUwqNuPc,"⚫️ digital-first fashion house built and owned by creators. 

⚪️ we live at the intersection of #fashion and the #metaverse. 

📷 https://t.co/yXf8vJQrBU",['https://t.co/yXf8vJQrBU'],243,182,3.2,0.2,['voguemagazine']
8,0xApolloCom,Apollo,False,2022-03-08 07:36:49+00:00,1 days 22:12:38.759686,1,https://t.co/vzs6JfD4eG,"Apollo is the first Titano fork and rebase token on Metis, offering a fixed APY of 383,025.80%. Auto-staking & compounding, simple and secure.
Join Discord 👇",[],189,5,13.2,7.8,"['Master_Metis', 'WhatTheFork_xyz', 'M3zlm', 'MetisDAO', 'tethysfinance']"
9,OutlinersNFT,The Outliners,False,2022-03-06 01:33:43+00:00,4 days 04:15:45.069547,4,,The Outliners - 1000 PFP NFT’s that hold a mintpass for all future Peace collections.,[],424,29,92.8,31.4,[]
