,name,age_days,follower_count,quality_score,description
1,Asteroids Money,6,487,34,First @tombfinance fork pegged to the price of 1 EVMOS @evmosorg floating in the cosmos. Comming soon.
2,Evolidly,26,1841,32,The first @solidlyexchange fork on #EVMOS. Coming soon.
3,QuantumSwap ?? - Evmos DEX,22,1672,29,A decentralized exchange for the entangled interchain. Powered by @EvmosOrg.
4,Arbolidly,16,1766,29,The first @solidlyexchange fork on #ARBITRUM. Coming soon.
5,SithSwap,19,265,27,"Next-gen #AMM on #StarkNet by @StarkWareLtd feat. stable + volatile swaps with ultra-low fees & slippage, gauged (3,3) bribes and rewards w/ #veNFTs #ETH #L222"
6,ArboGuild,5,74,27,
7,Perci Finance ??,34,785,26,The First Borrowing Protocol on @Evmos 51x Leverage | Portfolio Borrowing | 0% Interest Coming soon.
8,Planet Labs ??,7,544,26,"Fastest, Cheapest, Most Efficient DEX on @EvmosOrg and Cosmos Bringing Curve ?? onto Evmos and Cosmos Ecosystem Join us: https://t.co/zzuQgXKvmi"
9,Basin Protocol,3,973,26,Liquid Staking for @EvmosOrg https://t.co/Rnm65cAF4p
10,Lzero (alpha soon),20,60,22,The ownership you deserve
11,brydge network ??,40,152,21,the easiest way to stake and swap tokens cross-chain. discord: https://t.co/clbWzTXsrL
12,niftyswap,16,217,20,Instantly sell and buy blockchain collectibles. Fully decentralized marketplace for Web3 collectibles. Soon™? Built by @0xHorizonGames ??
13,nassim,12,2822,20,#blackswan is imminent
14,Ascynth,48,144,19,Hand drawn limited edition NFTs. Managed by @ascurx and @cyanical_
15,StaFiHub,27,95,19,Based on the #Cosmos SDK Serve the #Staking Derivatives in #Cosmos ecosystem
16,Expanding space?? | NFT Marketplace on Evmos,16,844,19,The first NFT marketplace on Evmos
17,3xcalibur,59,389,18,"For an idea that does not first seem insane, there is no hope."
18,MAGNA $CARTA,18,2146,18,The bridge of the people. By the people. For the people. Community | Economic Security | Multi-EVM
19,??Flashmint,10,155,18,"Mint your NFT from the presale, even if you don't have whatever they're gating on."
20,"DustSweeper (??,??)",16,1313,16,"Clean out small token balances and swap for ETH with minimal gas! (??,??)"
21,Rayn,21,221,15,Research and Development Studio. Team behind @module @decentralize and more.
22,Thanoswap,13,319,15,"A better AMM on @zkSync, designed to provide a sustainable & competitive yield while minimizing fee & slippage for traders"
23,B00B Finance,12,578,15,The only Tomb fork with a real use case for its peg token; join us to change the industry. Genesis at 12:00 UTC on March 4; PRESTAKE NOW!
24,Bilidly.exchange,10,1381,15,"??||?? Next generation ve(3,3) DEX for Binance Smart Chain https://t.co/0OBfqMzxXe https://t.co/SiUXBKZvud"
25,Aptos,28,1159,13,A Layer 1 for everyone.
26,Metafarm,22,83,13,DAAS Protocol on Avax ?? Discord ?? Website ??
27,WorldofMFN'CoolDoodledAzu-ClonedKingToadPunkedApes,14,7612,13,"This is the metaverse, for the people. Welcome to World of MFN' Cool Doodled Azu-Cloned King Toad Punked Apes. NOW MINTING!"
